ticket,deck,cabin,pclass,fare_per_person,family_size
W./C. 14266,5,F33,2.0,10.5,1
113055,4,E17,1.0,26.55,1
13567,1,B41,1.0,26.400000000000002,3
113509,1,B30,1.0,30.9896,2
PC 17483,2,C55 C57,1.0,110.8896,2
348124,5,F G73,3.0,7.65,1
SOTON/OQ 3101317,-1,,3.0,7.25,1
349215,-1,,3.0,7.8958,1
315153,-1,,3.0,7.341666666666666,3
349255,-1,,3.0,7.8958,1
111320,4,E63,1.0,38.5,1
3101298,-1,,3.0,4.095833333333333,3
113509,1,B36,1.0,30.9896,2
239853,-1,,2.0,0.0,1
237249,-1,,2.0,13.0,1
312993,-1,,3.0,7.775,1
SOTON/OQ 392076,-1,,3.0,7.05,1
365226,-1,,3.0,6.75,1
312991,-1,,3.0,7.775,1
347072,-1,,3.0,6.95,2
A. 2. 39186,-1,,3.0,8.05,1
110564,2,C52,1.0,26.55,1
347089,-1,,3.0,6.975,1
248731,-1,,2.0,13.5,1
112277,0,A31,1.0,31.0,1
C.A. 33595,-1,,2.0,15.75,1
345773,-1,,3.0,8.049999999999999,3
7935,-1,,3.0,7.75,1
349202,-1,,3.0,7.8958,1
112051,-1,,1.0,0.0,1
CA. 2314,-1,,3.0,7.55,1
LINE,-1,,3.0,0.0,1
359306,-1,,3.0,8.05,1
SC/Paris 2123,-1,,2.0,10.3948,4
3101297,-1,,3.0,7.925,1
STON/O 2. 3101294,-1,,3.0,7.925,1
330932,-1,,3.0,7.7875,1
SOTON/O2 3101272,-1,,3.0,7.125,1
250648,-1,,2.0,13.0,1
PC 17606,-1,,1.0,27.4458,1
19950,2,C23 C25 C27,1.0,43.833333333333336,6
12749,1,B69,1.0,31.166666666666668,3
349244,-1,,3.0,8.6833,1
248727,-1,,2.0,16.5,2
110813,3,D37,1.0,37.625,2
11767,2,C50,1.0,41.57915,2
347082,-1,,3.0,4.4678571428571425,7
2649,-1,,3.0,7.225,1
345771,-1,,3.0,9.5,1
29103,-1,,2.0,7.666666666666667,3
11774,2,C47,1.0,29.7,1
349254,-1,,3.0,7.8958,1
PC 17758,2,C105,1.0,108.9,1
349247,-1,,3.0,7.8958,1
PC 17598,-1,,1.0,31.6833,1
350043,-1,,3.0,7.7958,1
2661,-1,,3.0,5.081933333333333,3
2653,-1,,3.0,5.247233333333333,3
370129,-1,,3.0,6.7375,3
2681,-1,,3.0,6.4375,1
347088,-1,,3.0,4.6499999999999995,6
C 4001,-1,,3.0,22.525,1
244373,-1,,2.0,13.0,1
2622,-1,,3.0,7.2292,1
2669,-1,,3.0,7.2292,1
373450,-1,,3.0,8.05,1
CA. 2343,-1,,3.0,6.322727272727272,11
230136,5,F4,2.0,9.75,4
113572,1,B28,1.0,80.0,1
S.C./PARIS 2079,-1,,2.0,12.334733333333332,3
345763,-1,,3.0,4.5,4
113794,-1,,1.0,26.55,1
220845,-1,,2.0,16.25,4
7546,-1,,3.0,4.7375,2
239853,-1,,2.0,0.0,1
W./C. 14258,-1,,2.0,10.5,1
382652,-1,,3.0,4.854166666666667,6
11771,1,B37,1.0,29.7,1
347082,-1,,3.0,4.4678571428571425,7
SOTON/OQ 392086,-1,,3.0,8.05,1
248738,-1,,2.0,9.666666666666666,3
SC 14888,-1,,2.0,10.5,1
113760,1,B96 B98,1.0,30.0,4
236171,-1,,2.0,13.0,1
S.O./P.P. 3,4,E77,2.0,10.5,1
SC/Paris 2123,-1,,2.0,10.3948,4
113760,1,B96 B98,1.0,30.0,4
347742,-1,,3.0,3.7111,3
392095,-1,,3.0,7.25,1
113789,-1,,1.0,26.0,2
PC 17474,4,E25,1.0,26.3875,1
C.A. 31921,-1,,2.0,8.75,3
2664,-1,,3.0,7.225,1
2655,5,F E46,3.0,7.2292,1
SC/PARIS 2147,-1,,2.0,13.8583,1
21332,-1,,3.0,7.7333,1
C.A. 2315,-1,,3.0,5.14375,4
113788,0,A6,1.0,35.5,1
345768,-1,,3.0,9.5,1
347077,-1,,3.0,4.483928571428572,7
35851,-1,,3.0,7.7333,1
364499,-1,,3.0,8.05,1
349229,-1,,3.0,7.8958,1
S.O./P.P. 2,-1,,2.0,10.5,2
28404,-1,,2.0,13.0,1
2694,-1,,3.0,7.225,1
28664,-1,,2.0,10.5,2
2677,-1,,3.0,7.2292,1
237442,-1,,2.0,13.5,1
S.O./P.P. 251,-1,,3.0,7.55,1
363272,-1,,3.0,3.5,2
AQ/4 3130,-1,,3.0,7.75,1
2624,-1,,3.0,7.225,1
349237,-1,,3.0,8.9,2
330979,-1,,3.0,7.8292,1
PC 17590,0,A24,1.0,50.4958,1
STON/O 2. 3101275,-1,,3.0,7.125,1
237670,-1,,2.0,13.0,1
347063,-1,,3.0,7.775,1
112058,1,B52 B54 B56,1.0,0.0,1
370369,-1,,3.0,7.75,1
STON/O2. 3101290,-1,,3.0,7.925,1
PC 17585,-1,,1.0,79.2,1
F.C.C. 13540,-1,,2.0,10.5,1
LINE,-1,,3.0,0.0,1
13236,2,C78,1.0,28.875,2
240929,-1,,2.0,12.65,1
PC 17759,3,D10 D12,1.0,31.67915,2
343120,-1,,3.0,7.65,1
113503,2,C80,1.0,70.5,3
PC 17482,2,C90,1.0,49.5042,1
349232,-1,,3.0,7.8958,1
C.A. 17248,-1,,2.0,10.5,1
110413,4,E68,1.0,26.55,3
PC 17757,2,C62 C64,1.0,113.7625,2
113796,-1,,1.0,42.4,1
220367,-1,,2.0,13.0,1
C.A. 42795,-1,,3.0,7.55,1
CA 2144,-1,,3.0,5.8625,8
29750,-1,,2.0,13.0,3
W./C. 6607,-1,,3.0,5.8625,4
SO/C 14885,-1,,2.0,10.5,1
C 17369,-1,,3.0,7.1417,1
PC 17569,1,B78,1.0,73.2604,2
244252,-1,,2.0,13.0,2
PC 17754,0,A5,1.0,34.6542,1
C 4001,-1,,3.0,22.525,1
2543,2,C53,1.0,28.5375,1
371060,-1,,3.0,7.75,1
349251,-1,,3.0,7.8958,1
347467,-1,,3.0,7.8542,1
680,2,C39,1.0,50.0,1
A/5. 851,-1,,3.0,4.833333333333333,3
349223,-1,,3.0,7.8958,1
230080,5,F2,2.0,8.666666666666666,3
